scenario,method,seed,round,client_update_norm,cross_seed_mean_update_norm,absolute_deviation,relative_deviation_percent
High-straggler,Async-FedDRL,5629,26,0.1644972063861933,0.16459442983992614,9.722345373283647e-05,0.05906849571239421
High-straggler,Async-FedDRL,6740,26,0.16462739371996815,0.16459442983992614,3.296388004200845e-05,0.020027336328493607
High-straggler,Async-FedDRL,7851,26,0.16478678248235173,0.16459442983992614,0.0001923526424255917,0.11686461237640994
High-straggler,Async-FedDRL,3407,27,0.16475639012782367,0.1646466820888522,0.00010970803897147885,0.06663240192855785
High-straggler,Async-FedDRL,4518,27,0.16421943315191423,0.1646466820888522,0.00042724893693796284,0.2594944104050614
High-straggler,Async-FedDRL,5629,27,0.16453484014002823,0.1646466820888522,0.00011184194882396525,0.06792845589418518
High-straggler,Async-FedDRL,6740,27,0.16462115873256103,0.1646466820888522,2.5523356291162758e-05,0.015501895311433598
High-straggler,Async-FedDRL,7851,27,0.16510158829193392,0.1646466820888522,0.000454906203081723,0.2762923596821898
High-straggler,Async-FedDRL,3407,28,0.16474890122940025,0.16467568462210483,7.321660729542323e-05,0.04446109178986536
High-straggler,Async-FedDRL,4518,28,0.16443872440285473,0.16467568462210483,0.00023696021925009858,0.14389508675422918
High-straggler,Async-FedDRL,5629,28,0.16457487522701986,0.16467568462210483,0.000100809395084972,0.0612169278763333
High-straggler,Async-FedDRL,6740,28,0.1644397103763878,0.16467568462210483,0.00023597424571702996,0.1432963501919181
High-straggler,Async-FedDRL,7851,28,0.16517621187486137,0.16467568462210483,0.0005005272527565385,0.30394727303253094
High-straggler,Async-FedDRL,3407,29,0.16486673376171976,0.16467412261152412,0.0001926111501956429,0.11696503806492041
High-straggler,Async-FedDRL,4518,29,0.1645752687343323,0.16467412261152412,9.885387719182903e-05,0.06003000084295643
High-straggler,Async-FedDRL,5629,29,0.16435930044393426,0.16467412261152412,0.00031482216758985104,0.19117889477543168
High-straggler,Async-FedDRL,6740,29,0.16449377950253197,0.16467412261152412,0.00018034310899214812,0.10951514793710974
High-straggler,Async-FedDRL,7851,29,0.16507553061510233,0.16467412261152412,0.00040140800357821305,0.2437590054905943
High-straggler,Async-FedDRL,3407,30,0.16508616372790494,0.16469434877967798,0.0003918149482269595,0.23790430645019586
High-straggler,Async-FedDRL,4518,30,0.16456137130745602,0.16469434877967798,0.00013297747222196232,0.08074197639887126
High-straggler,Async-FedDRL,5629,30,0.1641047727077985,0.16469434877967798,0.0005895760718794829,0.35798196856663006
High-straggler,Async-FedDRL,6740,30,0.1645992372903578,0.16469434877967798,9.511148932017655e-05,0.0577503053534722
High-straggler,Async-FedDRL,7851,30,0.16512019886487264,0.16469434877967798,0.0004258500851946623,0.2585699438687777
High-straggler,Async-FedDRL,3407,31,0.16494869503511933,0.16474108217152444,0.00020761286359488595,0.12602373424907118
High-straggler,Async-FedDRL,4518,31,0.16465662826733257,0.16474108217152444,8.445390419187238e-05,0.05126462876087035
High-straggler,Async-FedDRL,5629,31,0.16450436643279426,0.16474108217152444,0.0002367157387301866,0.14368956158957596
High-straggler,Async-FedDRL,6740,31,0.16463825837294127,0.16474108217152444,0.0001028237985831737,0.062415395861073704
High-straggler,Async-FedDRL,7851,31,0.16495746274943474,0.16474108217152444,0.0002163805779102912,0.13134585196241516
High-straggler,Async-FedDRL,3407,32,0.16496563475389814,0.1648147251623747,0.00015090959152344596,0.0915631727533875
High-straggler,Async-FedDRL,4518,32,0.16457981611509012,0.1648147251623747,0.00023490904728457052,0.14252916239925725
High-straggler,Async-FedDRL,5629,32,0.1647134667949073,0.1648147251623747,0.00010125836746738281,0.06143769457954897
High-straggler,Async-FedDRL,6740,32,0.1647781668774743,0.1648147251623747,3.655828490040092e-05,0.02218144335367114
High-straggler,Async-FedDRL,7851,32,0.16503654127050374,0.1648147251623747,0.00022181610812904706,0.13458512757917407
High-straggler,Async-FedDRL,3407,33,0.1650856143696198,0.16486312156302432,0.00022249280659547566,0.13495608022344796
High-straggler,Async-FedDRL,4518,33,0.16469613553350548,0.16486312156302432,0.00016698602951883967,0.10128767909747712
High-straggler,Async-FedDRL,5629,33,0.16489656070979525,0.16486312156302432,3.3439146770924966e-05,0.02028297563087313
High-straggler,Async-FedDRL,6740,33,0.16471777001993199,0.16486312156302432,0.0001453515430923369,0.08816498299577052
High-straggler,Async-FedDRL,7851,33,0.16491952718226913,0.16486312156302432,5.6405619244803695e-05,0.03421360623894338
High-straggler,Async-FedDRL,3407,34,0.16514393203342675,0.16498763115202497,0.000156300881401783,0.09473490849611768
High-straggler,Async-FedDRL,4518,34,0.16499468553719923,0.16498763115202497,7.054385174259936e-06,0.004275705472587698
High-straggler,Async-FedDRL,5629,34,0.16502421430225409,0.16498763115202497,3.6583150229113626e-05,0.022173268367860086
High-straggler,Async-FedDRL,6740,34,0.16488783886289285,0.16498763115202497,9.979228913212235e-05,0.060484709329616644
High-straggler,Async-FedDRL,7851,34,0.16488748502435188,0.16498763115202497,0.00010014612767308972,0.06069917300698246
High-straggler,Async-FedDRL,3407,35,0.16502614286693568,0.16494447649361424,8.166637332143734e-05,0.04951143260902042
High-straggler,Async-FedDRL,4518,35,0.16485631293482209,0.16494447649361424,8.816355879215365e-05,0.05345044627521484
High-straggler,Async-FedDRL,5629,35,0.16501761439510781,0.16494447649361424,7.313790149357513e-05,0.04434092189586393
High-straggler,Async-FedDRL,6740,35,0.16483554088059607,0.16494447649361424,0.00010893561301816845,0.06604380779151817
High-straggler,Async-FedDRL,7851,35,0.16498677139060944,0.16494447649361424,4.2294896995198616e-05,0.025641899561781353
High-straggler,Async-FedDRL,3407,36,0.1650781945479129,0.16493510069639142,0.00014309385152147525,0.08675767069429265
High-straggler,Async-FedDRL,4518,36,0.16504470658604092,0.16493510069639142,0.00010960588964950557,0.06645395018205705
High-straggler,Async-FedDRL,5629,36,0.16499632429540784,0.16493510069639142,6.122359901641894e-05,0.03711981182775513
High-straggler,Async-FedDRL,6740,36,0.16473890580526657,0.16493510069639142,0.00019619489112485122,0.11895278221341259
High-straggler,Async-FedDRL,7851,36,0.16481737224732884,0.16493510069639142,0.00011772844906257629,0.07137865049070907
High-straggler,Async-FedDRL,3407,37,0.16504710006929302,0.16497632711081067,7.077295848234577e-05,0.042898856897698574
High-straggler,Async-FedDRL,4518,37,0.16503563924691808,0.16497632711081067,5.931213610740893e-05,0.03595190725004466
